country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Austria,388.0,397.0,412.0,425.0,438.0,452.0,463.0,475.0,487.0,501.0,511.0,519.0,492.0,498.0,501.0,504.0,508.0,511.0,514.0,522.0,530.0,537.0,542.0,546.0
Belgium,387.0,396.0,399.0,407.0,416.0,421.0,427.0,433.0,440.0,448.0,456.0,460.0,462.0,464.0,467.0,468.0,470.0,473.0,477.0,479.0,480.0,488.0,489.0,491.0
Bulgaria,152.0,158.0,166.0,178.0,188.0,197.0,205.0,209.0,220.0,233.0,245.0,265.0,279.0,298.0,317.0,333.0,233.0,277.0,317.0,337.0,353.0,368.0,385.0,402.0
Croatia,166.0,160.0,147.0,139.0,150.0,155.0,184.0,205.0,221.0,235.0,261.0,275.0,285.0,298.0,308.0,319.0,331.0,350.0,360.0,358.0,355.0,355.0,339.0,341.0
Cyprus,305.0,315.0,320.0,321.0,325.0,335.0,341.0,348.0,365.0,372.0,384.0,397.0,404.0,419.0,458.0,477.0,492.0,529.0,557.0,563.0,551.0,545.0,549.0,553.0
Czech Republic,234.0,247.1,260.1,274.0,283.0,295.0,310.0,329.0,339.0,335.0,336.0,346.0,358.0,364.0,374.0,387.0,401.0,414.0,424.0,424.0,429.0,436.0,448.0,450.0
Denmark,309.0,309.0,310.0,311.0,309.0,320.0,330.0,337.0,342.0,346.0,347.0,349.0,351.0,455.0,455.1,455.1,455.0,466.0,468.0,442.1,381.0,394.0,399.0,405.0
Estonia,154.0,171.0,188.0,215.0,233.0,269.0,289.0,307.0,327.0,327.0,333.0,294.0,291.0,318.0,347.0,366.0,413.0,391.0,413.0,409.0,416.0,433.0,456.0,478.0
Finland,388.0,382.0,383.0,369.0,367.0,372.0,379.0,378.0,392.0,403.0,412.0,416.0,422.0,436.0,448.0,462.0,475.0,485.0,507.0,519.0,535.0,551.0,560.0,570.0
France,404.0,406.0,408.0,413.0,420.0,422.0,427.0,435.0,446.0,454.0,460.0,467.0,471.0,475.0,476.0,476.0,478.0,480.0,483.1,486.0,538.0,540.0,542.0,546.0
Germany,385.0,390.0,433.0,477.0,488.0,494.0,500.0,504.0,508.0,515.0,532.0,538.0,541.0,546.0,550.0,559.0,566.0,501.0,504.0,510.0,527.0,534.0,539.0,543.0
Greece,169.0,171.0,175.0,187.0,197.0,208.0,220.0,234.0,249.0,272.0,295.0,314.0,334.0,351.0,371.0,391.0,412.0,434.0,453.0,462.0,469.0,469.0,470.0,469.0
Hungary,187.0,194.0,199.0,202.0,211.0,218.0,220.0,224.0,216.0,221.0,232.0,244.0,259.0,274.0,280.0,287.0,319.0,325.0,305.0,301.0,299.0,299.0,301.0,308.0
Ireland,227.0,236.0,241.0,249.0,261.0,274.0,289.0,307.0,321.0,336.0,344.0,360.0,371.0,380.0,385.0,395.0,410.0,422.0,442.0,434.0,426.0,428.0,426.0,427.0
Italy,483.0,502.0,518.0,522.0,522.0,533.0,536.0,540.0,555.0,563.0,572.0,583.0,590.0,597.0,587.0,597.0,606.0,608.0,612.0,614.0,619.0,625.0,621.0,608.0
Latvia,125.0,124.0,135.0,145.0,101.0,134.0,155.0,178.0,201.0,221.0,237.0,253.0,269.0,285.0,305.0,333.0,372.0,413.0,431.0,426.0,307.0,299.0,305.0,317.0
Lithuania,133.0,143.0,153.0,163.0,179.0,199.0,219.0,248.0,277.0,310.0,336.0,328.0,344.0,370.0,392.0,442.0,490.0,494.0,525.0,540.0,554.0,570.0,590.0,615.0
Luxembourg,499.0,516.0,529.0,545.0,565.0,572.1,579.1,585.1,592.0,607.0,622.0,633.0,640.0,644.0,648.0,654.0,662.0,666.0,665.0,660.0,659.0,658.0,663.0,661.0
Malta,302.0,333.0,338.0,409.0,453.0,478.0,436.0,478.0,450.0,470.0,483.0,495.0,508.0,512.1,518.1,525.0,537.0,549.0,558.0,566.0,581.0,592.0,591.0,596.0
Netherlands,367.0,368.0,371.0,356.0,362.0,366.0,373.0,379.0,388.0,400.0,409.0,417.0,423.0,425.0,429.0,434.0,442.0,451.0,457.0,460.0,464.0,470.0,472.0,471.0
Poland,138.0,160.0,169.0,176.0,185.0,195.0,208.0,221.0,230.0,243.0,261.0,275.0,289.0,294.0,314.0,323.0,351.0,383.0,422.0,434.0,453.0,476.0,492.0,510.0
Portugal,256.0,279.0,306.0,330.0,353.0,373.0,397.0,422.0,450.0,481.0,509.0,533.0,554.0,541.1,528.1,515.1,502.1,489.1,476.1,460.1,444.0,447.0,406.0,415.0
Romania,54.0,63.0,70.0,79.0,89.0,97.0,106.0,116.0,125.0,133.0,139.0,148.0,137.0,144.1,151.0,158.0,152.0,172.0,197.0,209.0,214.0,216.0,224.0,235.0
Slovakia,240.0,171.0,179.0,186.0,186.0,189.0,197.0,211.0,222.0,229.0,237.0,240.0,247.0,252.0,223.0,243.0,248.0,267.0,287.0,295.0,310.0,324.0,337.0,347.0
Slovenia,289.0,297.0,304.0,318.0,330.0,351.0,366.0,392.0,411.0,427.0,437.0,444.0,458.0,446.0,456.0,479.0,487.0,504.0,514.0,517.0,518.0,519.0,518.0,518.0
Spain,309.0,321.0,334.0,341.0,346.0,357.0,371.1,385.1,400.1,416.0,429.0,442.0,448.0,439.0,451.0,460.1,470.0,476.0,479.0,473.0,475.0,476.0,476.0,474.0
Sweden,419.0,419.0,413.0,408.0,408.0,411.0,413.0,418.0,428.0,439.0,450.0,451.0,452.0,454.0,456.0,459.0,461.0,464.0,462.0,460.0,460.0,464.0,465.0,466.0
